Key,Value
InGame.ConnectionError.DisconnectSendPacketError,"Beim Senden der Daten ist ein Problem aufgetreten, bitte wieder verbinden."
InGame.ConnectionError.DisconnectOnRemoteSysStats,Du wurdest aufgrund unerwartetem Verhalten des Clients gekickt.
InGame.ConnectionError.DisconnectTimeout,Zeitüberschreitung der Verbindung. Bitte überprüfe deine Internetverbindung und versuche es erneut.
InGame.ConnectionError.DisconnectSecurityKeyMismatch,Die Verbindung ist aufgrund eines Fehlers abgebrochen.
InGame.ConnectionError.TeleportErrors,Teleport ist aufgrund eines unerwarteten Fehlers fehlgeschlagen. Bitte versuche es erneut.
InGame.ConnectionError.TeleportGameEnded,Der Server ist nicht mehr verfügbar. Bitte versuche es mit einem anderen Server oder versuche es später erneut.
InGame.ConnectionError.PlacelaunchFlooded,Der Server ist momentan ausgelastet. Bitte versuche es erneut.
InGame.ConnectionError.DisconnectProtocolMismatch,Deine Version von Roblox ist eventuell veraltet. Bitte aktualisiere Roblox und versuche es erneut.
InGame.ConnectionError.DisconnectRobloxMaintenance,Roblox hat den Server zur Wartung heruntergefahren. Bitte versuche es erneut.
InGame.ConnectionError.DisconnectHashTimeout,Zeitüberschreitung der Verbindung. Bitte überprüfe deine Internetverbindung und versuche es erneut.
InGame.ConnectionError.DisconnectReceivePacketError,"Beim Empfangen der Daten ist ein Problem aufgetreten, bitte wieder verbinden."
InGame.ConnectionError.PlacelaunchOtherError,Wir haben technische Schwierigkeiten. Bitte versuche es später erneut.
InGame.ConnectionError.TeleportFlooded,Zu viele Teleportanfragen. Bitte versuche es später erneut.
InGame.ConnectionError.DisconnectIllegalTeleport,Die Verbindung ist aufgrund einer ungültigen Teleportation abgebrochen. 
InGame.ConnectionError.DisconnectReceivePacketStreamError,"Beim Streamen der Daten ist ein Problem aufgetreten, bitte wieder verbinden."
InGame.ConnectionError.PlacelaunchError,"Der Server, dem du beitreten möchtest, kann nicht gefunden werden. Bitte versuche es später erneut."
InGame.ConnectionError.TeleportUnauthorized,"Du hast versucht, dich an einen zugangsbeschränkten Ort zu teleportieren."
InGame.ConnectionError.Title.JoinError,Verbindungsfehler
InGame.ConnectionError.Title.Disconnected,Verbindung getrennt
InGame.ConnectionError.Title.TeleportFailed,Teleportation gescheitert
InGame.ConnectionError.Message.ErrorCode,Fehlercode: {ERROR_CODE}
InGame.ConnectionError.Button.Reconnect,Erneut verbinden
InGame.ConnectionError.DisconnectConnectionLost,Bitte überprüfe deine Internetverbindung und versuche es erneut.
