Key,Value
Feature.SettingsHub.Video.SystemDefault,Predefinito di sistema
Feature.SettingsHub.Video.VideoCamera,Videocamera
Feature.SettingsHub.Default.DynamicThumbstick,Predefinita (Levetta dinamica)
Feature.SettingsHub.DefaultKeyboard,Predefinita (Tastiera)
Feature.SettingsHub.Heading.Capture,Catturare
Feature.SettingsHub.Label.CaptureDescription2,Le foto scattate vengono salvate sul tuo dispositivo.
Feature.SettingsHub.Label.ChooseOne,Scegline uno
InGame.CommonUI.Title.Warning,Attenzione
InGame.CommonUI.Title.Error,Errore
InGame.CommonUI.Button.Retry,Riprova
InGame.CommonUI.Button.Ok,Ok
InGame.CommonUI.Title.Alert,Avviso
InGame.CommonUI.Label.Default,Predefinito
InGame.CommonUI.Label.Custom,Personalizzato
InGame.CommonUI.Label.PossiblyCustom,Forse personalizzato
InGame.CommonUI.Label.CustomOld,Vecchia personalizzazione
InGame.ConnectionError.DisconnectCloudEditKick,Connessione persa con la creazione della squadra. È necessario riconnettersi. 
InGame.ConnectionError.DisconnectWrongVersion,La tua versione di Roblox potrebbe essere obsoleta. Aggiorna Roblox e prova di nuovo.
InGame.ConnectionError.TeleportFailure,Teletrasporto non riuscito a causa di un errore imprevisto. Riprova a teletrasportarti.
InGame.ConnectionError.DisconnectNewSecurityKeyMismatch,Connessione persa a causa di un errore.
InGame.ConnectionError.TeleportGameFull,Il server è pieno. Riprova più tardi o usa un altro server.
InGame.ConnectionError.DisconnectPlayerless,Il server è stato chiuso mentre provavi a connetterti. Riprova più tardi.
InGame.ConnectionError.TeleportGameNotFound,Impossibile trovare il luogo di destinazione. Per favore controlla e riprova.
InGame.ConnectionError.DisconnectErrors,Connessione persa a causa di un errore sconosciuto. Riconnettiti.
InGame.ConnectionError.DisconnectDuplicateTicket,Connessione persa a causa di un errore. Sono state rilevate diverse connessioni dallo stesso account.
InGame.ConnectionError.DisconnectBadhash,Connessione persa a causa di un errore.
InGame.ConnectionError.DisconnectSendPacketError,"C'è stato un problema durante l'invio dei dati, è necessario riconnettersi."
InGame.ConnectionError.DisconnectOnRemoteSysStats,Sei stato espulso a causa di un comportamento imprevisto del client.
InGame.ConnectionError.DisconnectTimeout,La tua connessione è scaduta. Controlla la tua connessione a Internet e riprova.
InGame.ConnectionError.DisconnectSecurityKeyMismatch,Connessione persa a causa di un errore.
InGame.ConnectionError.TeleportErrors,Teletrasporto non riuscito a causa di un errore imprevisto. Riprova a teletrasportarti.
InGame.ConnectionError.TeleportGameEnded,Il server non è più disponibile. Prova uno diverso o prova più tardi.
InGame.ConnectionError.PlacelaunchFlooded,Il server è al momento occupato. Riprova.
InGame.ConnectionError.DisconnectProtocolMismatch,La tua versione di Roblox potrebbe essere obsoleta. Aggiorna Roblox e prova di nuovo.
InGame.ConnectionError.DisconnectRobloxMaintenance,Roblox ha chiuso questo server per manutenzione. Riprova più tardi.
InGame.ConnectionError.DisconnectHashTimeout,La tua connessione è scaduta. Controlla la tua connessione a Internet e riprova.
InGame.ConnectionError.DisconnectReceivePacketError,"C'è stato un problema durante la ricezione dei dati, è necessario riconnettersi."
InGame.ConnectionError.PlacelaunchOtherError,Stiamo riscontrando delle difficoltà tecniche. Riprova più tardi.
InGame.ConnectionError.TeleportFlooded,Troppe richieste di teletrasporto. Riprova più tardi.
InGame.ConnectionError.DisconnectIllegalTeleport,Connessione persa a causa di un teletrasporto non valido. 
InGame.ConnectionError.DisconnectReceivePacketStreamError,"C'è stato un problema durante lo streaming dei dati, è necessario riconnettersi."
InGame.ConnectionError.PlacelaunchError,Impossibile trovare il server a cui stai cercando di unirti. Riprova più tardi.
InGame.ConnectionError.TeleportUnauthorized,Tentativo di teletrasporto verso una località riservata.
InGame.ConnectionError.Title.JoinError,Errore di accesso
InGame.ConnectionError.Title.Disconnected,Disconnesso
InGame.ConnectionError.Title.TeleportFailed,Teletrasporto non riuscito
InGame.ConnectionError.Message.ErrorCode,Codice di errore: {ERROR_CODE}
InGame.ConnectionError.Button.Reconnect,Riconnetti
InGame.ConnectionError.DisconnectConnectionLost,Controlla la tua connessione a Internet e riprova.
InGame.ConnectionError.DisconnectIdle,Sei stato disconnesso perché inattivo per {RBX_NUM} minuti
InGame.ConnectionError.UnknownError,Errore imprevisto.
InGame.ConnectionError.ReconnectFailed,Riconnessione non riuscita. Riprova.
InGame.EmotesMenu.SelectAnEmote,Seleziona un'emoticon
InGame.EmotesMenu.NoEmotesEquipped,Nessuna emoticon equipaggiata
InGame.EmotesMenu.ErrorMessageNotSupported,Qui non puoi usare le emoticon.
InGame.EmotesMenu.ErrorMessageR15Only,Solo gli avatar R15 possono usare le emoticon.
InGame.EmotesMenu.ErrorMessageNoMatchingEmote,Non puoi usare quell'emoticon.
InGame.EmotesMenu.ErrorMessageTemporarilyUnavailable,Adesso non puoi usare le emoticon.
InGame.EmotesMenu.VisitShopToGetEmotes,Non hai nessun emote. Visita il negozio per acquistare le emotes!
InGame.EmotesMenu.ErrorMessageSwitchToR15,Passa al tuo avatar R15 per giocare a Emote.
InGame.EmotesMenu.ErrorMessageAnimationPlaying,Non puoi giocare Emote durante questa azione.
FriendPlayerPrompt.promptCompletedCallback.UnknownError,Si è verificato un errore nell'invio della richiesta di collegamento a {RBX_NAME}. Riprova più tardi.
FriendPlayerPrompt.DoPromptUnfriendPlayer,Vuoi rimuovere {RBX_NAME} dalla tua lista di collegamenti?
FriendPlayerPrompt.DoPromptRequestFriendPlayer,Vuoi inviare a {RBX_NAME} una richiesta di collegamento?
FriendPlayerPrompt.promptCompletedCallback.AtFriendLimit,Non puoi inviare una richiesta di collegamento a {RBX_NAME} perché ha raggiunto il limite massimo di collegamenti.
FriendPlayerPrompt.Title.SendFriendRequest,Invia richiesta di amicizia?
FriendPlayerPrompt.Label.Unfriend,Rimuovi collegamento
InGame.GameplayPaused.Title,Gioco in pausa
InGame.GameplayPaused.Body,Il gioco è stato messo in pausa: attendi durante il caricamento del contenuto di gioco.
InGame.HelpMenu.UpArrow,Freccia SU
InGame.HelpMenu.DownArrow,Freccia GIÙ
InGame.HelpMenu.LeftArrow,Freccia SINISTRA
InGame.HelpMenu.RightArrow,Freccia DESTRA
InGame.HelpMenu.Label.ServerVersion,Versione del server:
InGame.HelpMenu.Label.ClientVersion,Versione del client:
InGame.HelpMenu.Label.PlayerScripts,PlayerScripts:
InGame.HelpMenu.Label.PlaceVersion,Versione della località:
InGame.HelpMenu.Leave,Esci
InGame.HelpMenu.Resume,Riprendi
InGame.HelpMenu.Label.ClientCoreScriptVersion,Versione CoreScript del client:
InGame.InspectMenu.Description.NoInventoryNotice,Questo utente non indossa alcun oggetto che puoi esaminare.
InGame.InspectMenu.Description.MultipleBundlesNotice,Questo oggetto fa parte di bundle multipli.
InGame.InspectMenu.Description.SingleBundleNotice,Questo oggetto fa parte di un bundle.
InGame.InspectMenu.Action.TakeOff,Togli
InGame.InspectMenu.Action.TryOn,Prova
InGame.InspectMenu.Action.Buy,Compra
InGame.InspectMenu.Action.Inspect,Esamina
InGame.InspectMenu.Action.View,Osserva
InGame.InspectMenu.Label.Owned,Posseduto
InGame.InspectMenu.Label.Offsale,Non in vendita
InGame.InspectMenu.Label.Limited,Limitato
InGame.InspectMenu.Label.CurrentlyWearing,Indossato attualmente
InGame.InspectMenu.Label.By,Da {CREATOR}
InGame.InspectMenu.Description.LimitedNotice,Questo oggetto può essere acquistato solo dai rivenditori presenti nel catalogo.
InGame.InspectMenu.Label.Avatar,Avatar di {PLAYER_NAME}
InGame.InspectMenu.Label.NoResellers,Nessun rivenditore
InGame.InspectMenu.Label.PremiumOnly,Solo Premium
NotificationScrip2.onCurrentGraphicsQualityLevelChanged.Decreased,Sceso a {RBX_NUMBER}
NotificationScrip2.onCurrentGraphicsQualityLevelChanged.Increased,Salito a {RBX_NUMBER}
NotificationScript2.NewFollower,Il nuovo follower {RBX_NAME} ha cominciato a seguirti!
NotificationScript2.FriendRequestEvent.Accept,Sei ora amici di {RBX_NAME}!
NotificationScript2.onPointsRewarded.negative,Hai perso {RBX_NUMBER} punti!
NotificationScript2.onPointsAwarded.single,Hai ricevuto {RBX_NUMBER} punto!
NotificationScript2.onPointsAwarded.multiple,Hai ricevuto {RBX_NUMBER} punti!
NotificationScript2.onBadgeAwardedTitle,Contrassegno conferito
NotificationScript2.onBadgeAwardedDetail,"{RBX_NAME} ha vinto il premio ""{BADGE_NAME}"" di {CREATOR_NAME}!"
NotificationScript2.Screenshot.Title,Screenshot catturato
NotificationScript2.Screenshot.Description,Vai nella cartella screenshot per vederlo.
NotificationScript2.Screenshot.ButtonText,Apri cartella
NotificationScript2.Video.Title,Video registrato
NotificationScript2.Video.Description,Vai nella cartella video per vederlo.
NotificationScript2.Video.ButtonText,Apri cartella
NotificationScript2.Capture.Permission.AlertTitle,Abilita Salva Permessi
NotificationScript2.Capture.Permission.AlertText,È necessario abilitare le autorizzazioni per le foto per utilizzare questa funzione. Questo può essere modificato nelle impostazioni del tuo dispositivo.
NotificationScript2.Capture.Permission.AlertTextIOS,"Vai a Impostazioni > Privacy > Fotografie, e abilita Roblox per salvare le acquisizioni nella fotocamera."
NotificationScript2.Capture.Permission.AlertTextAndroid,Vai a Impostazioni > Roblox > Autorizzazioni e abilita Archiviazione per salvare le acquisizioni nella tua libreria di foto.
NotificationScript2.Capture.Permission.AlertButtonText,OK
NotificationScript2.Capture.Success.ToastText,Acquisizione salvata
NotificationScript2.Capture.Fail.ToastText,Acquisizione non riuscita
NotificationScript2.UINavigation.Title,Navigazione UI Abilitata
NotificationScript2.UINavigation.Text,Backslash per attivare/disattivare
NotificationScript2.CameraToggle.Title,Controllo fotocamera abilitato
NotificationScript2.CameraToggle.Text,Tasto destro del mouse per attivare/disattivare
NotificationScript2.GraphicsQuality.Title,Qualità grafica
PlayerDropDown.onUnfollowButtonPress.success,Non stai seguendo ancora {RBX_NAME}.
PlayerDropDown.onFollowButtonPress.success,stai seguendo {RBX_NAME}
PlayerDropDown.CannotSendFriendRequest,Impossibile inviare richiesta di amicizia
PlayerDropDown.FriendLimit,Hai raggiunto il limite massimo di amici.
PlayerDropDown.OtherPlayerFriendLimit,{RBX_NAME} ha raggiunto il limite massimo di amici.
PlayerDropDown.UnFollow,Non seguire più
PlayerDropDown.Follow,Segui
PlayerDropDown.Report,Segnala un abuso
PlayerDropDown.Examine,Esamina avatar
PlayerDropDown.Unfriend,Togli amicizia
PlayerDropDown.FriendRequest,Richiesta di amicizia
PlayerDropDown.CancelRequest,Annulla richiesta
PlayerDropDown.Accept,Accetta
InGame.PlayerList.Leaderboard,Classifica
InGame.Presence.Label.InStudio,In Studio
InGame.Presence.Label.Offline,Offline
InGame.Presence.Label.Online,Online
PurchasePromptScript.PURCHASE_FAILED.CANNOT_GET_BALANCE,Impossibile recuperare i tuoi fondi in questo momento. Il tuo account non ha subito addebiti. Riprova più tardi.
PurchasePromptScript.ERROR_MSG.MAINTENANCE,ROBLOX sta effettuando la manutenzione
PurchasePromptScript.setBuyMoreRobuxDialog.PostBalanceText,I rimanenti {RBX_NUMBER} ROBUX verranno accreditati ai tuoi fondi.
PurchasePromptScript.PURCHASE_FAILED.THIRD_PARTY_DISABLED,Le vendite di oggetti di terzi sono state disattivate per questa località. Il tuo account non ha subito addebiti.
PurchasePromptScript.PURCHASE_FAILED.NOT_ENOUGH_TIX,Questo oggetto costa più ticket di quanti tu ne abbia. Prova a scambiare valuta sul sito www.roblox.com per ottenere più ticket.
PurchasePromptScript.PURCHASE_FAILED.NOT_FOR_SALE,Questo oggetto non è attualmente in vendita. Il tuo account non ha subito addebiti.
PurchasePromptScript.setPurchaseDataInGui.invalidBC,"Questo oggetto richiede: {RBX_NAME1}. Clicca su ""Migliora"" per potenziare il tuo Builders Club!"
PurchasePromptScript.PURCHASE_FAILED.LIMITED,Questo oggetto limitato non è più disponibile. Prova ad acquistarlo da un altro utente sul sito www.roblox.com. Il tuo account non ha subito addebiti.
PurchasePromptScript.PURCHASE_MSG.PURCHASE,Vuoi comprare {RBX_NAME1} {RBX_NAME2} per
PurchasePromptScript.PURCHASE_FAILED.CANNOT_GET_ITEM_PRICE,Impossibile recuperare il prezzo dell'oggetto in questo momento. Il tuo account non ha subito addebiti. Riprova più tardi.
PurchasePromptScript.PURCHASE_MSG.FREE,Vuoi prendere l'oggetto {RBX_NAME2} GRATIS?
PurchasePromptScript.PURCHASE_FAILED.PROMPT_PURCHASE_ON_GUEST,"Per poter comprare oggetti, devi creare un account ROBLOX. Visita il sito www.roblox.com per maggiori informazioni."
PurchasePromptScript.setBuyMoreRobuxDialog.descriptionText,Hai bisogno di {RBX_NUMBER} ROBUX in più per comprare: {RBX_NAME1} {RBX_NAME2}. Vuoi acquistare altri ROBUX?
PurchasePromptScript.PURCHASE_FAILED.UNDER_13,Il tuo account è per giocatori con meno di 13 anni. L'acquisto di questo oggetto non è permesso. Il tuo account non ha subito addebiti.
PurchasePromptScript.PURCHASE_MSG.BALANCE_FUTURE,"Dopo la transazione, i tuoi fondi saranno {RBX_NUMBER}."
