Key,Value
Common.UGCValidation.ErrorLabel.AQSInputDataError,"Die Qualitätsbewertung kann nicht richtig berechnet werden, da die eingegebenen Daten falsch oder unvollständig sind. Bitte überprüfe dein Modell oder erstelle einen Fehlerbericht."
Common.UGCValidation.ErrorLabel.AQSInternalError,"Die Punktzahl kann aufgrund eines Objekt-Qualitätsfehlers nicht generiert werden. Bitte überprüfe, ob die eingegebenen Daten richtig sind, und versuche es erneut oder erstelle einen Fehlerbericht."
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistance,"Warnung zur Objektqualität: Der Abstandswert zwischen Cage und Mesh beträgt {score}. Der maximale Abstand zwischen äußerem Cage und Mesh beträgt {max_distance}, {negative_sdf_percent} % der Eckpunkte des äußeren Cages befinden sich innerhalb des Render-Mesh."
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistanceAvatar,"Warnung zur Objektqualität: Der Abstandswert des Körper-Cages beträgt {score}. Der maximale Abstand zwischen Körper-Cage und Mesh beträgt {max_distance}, {negative_sdf_percent} % der Eckpunkte des Körper-Cages befinden sich innerhalb des Körper-Mesh."
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistanceHead,"Warnung zur Objektqualität: Der Abstandswert des Kopf-Cages beträgt {score}. Der maximale Abstand zwischen Kopf-Cage und Mesh beträgt {max_distance}, {negative_sdf_percent} % der Eckpunkte des Kopf-Cages befinden sich innerhalb des Kopf-Mesh."
Common.UGCValidation.ErrorLabel.AQSWarn_CageRelevancy,Warnung zur Objektqualität: Der Cage-Relevanzwert beträgt {score}. {irrelevant_percent} % der geänderten Eckpunkte des äußeren Cages decken das Accessoire nicht ab.
Common.UGCValidation.ErrorLabel.AQSWarn_CageUV,Warnung zur Objektqualität: Der Cage-UV-Wert beträgt {score} für {cage_name}. Falsche UV-Zahl: {incorrect_uv_count}.
Common.UGCValidation.ErrorLabel.AQSWarn_DegenTriangles,Objektqualität: {partName} hat {degenerate_triangle_percent} % degenerierte Dreiecke (Score: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_DynamicHead,Warnung zur Objektqualität: Der Wert für den dynamischen Gesichtsausdruck beträgt {score}.
Common.UGCValidation.ErrorLabel.AQSWarn_JointNumber,"Objektqualität: Gelenkkonfiguration mit Score {score} (Gelenke: {joint_number}, linke Hand: {left_hand_joint_number}, rechte Hand: {right_hand_joint_number})."
Common.UGCValidation.ErrorLabel.AQSWarn_MeshIslandVolume,"Objektqualität: {partName} hat {num_small_volume_islands} kleine, nicht verbundene Inseln von {num_disconnected_components} Komponenten (Score: {score})."
Common.UGCValidation.ErrorLabel.AQSWarn_MeshManifold,Objektqualität: {partName} hat Probleme mit der Mesh-Varietät (Score: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_MeshNotWatertight,Asset-Qualität: Mesh von {partName} ist nicht geschlossen ({boundary_edges_percent} % Begrenzungskanten).
Common.UGCValidation.ErrorLabel.AQSWarn_MeshOutsideOuterCage,Warnung zur Objektqualität: Der Mesh-Containment-Wert beträgt {score}. {mesh_outside_outer_cage_percent} % der Mesh-Eckpunkte befinden sich außerhalb des äußeren Cages.
Common.UGCValidation.ErrorLabel.AQSWarn_MissingData,"Die Objektqualitätsbewertung für {measureName} konnte nicht berechnet werden, da die Eingabedaten unvollständig oder ungültig waren. Dies blockiert deinen Upload nicht."
Common.UGCValidation.ErrorLabel.AQSWarn_TextureComplexity,Objektqualität: Textur {textureName} hat eine geringe Komplexität (Score: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_TextureResolution,Objektqualität: Textur {textureName} hat eine Auflösung von {texture_width} x {texture_height} (Score: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_TriangleIntersection,Objektqualität: {partName} hat {intersecting_tri_face_percent} % sich überschneidende Dreiecksflächen (Score: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_UVBound,Objektqualität: {partName} hat {uv_outside_bound_vert_percent} % UV-Eckpunkte außerhalb der Grenzen (Score: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_VertexSimilarity,Objektqualität: {partName} hat {similar_vertex_percent} % ähnliche Eckpunkte (Score: {score}).
Common.UGCValidation.ErrorLabel.AccessoryAttachmentOutOfBounds,"Der Accessoire-Anhang ""{AttachmentName}"" in ""{PartName}"" muss in der Nähe der Oberfläche des Meshes platziert werden. Die aktuelle Position [{CurrentPosition}] liegt außerhalb des gültigen Bereichs. Bewege den Accessoire-Anhang näher an [{ClosestValidPosition}]."
Common.UGCValidation.ErrorLabel.AccessorySkinning_ExtraJoint,"Der Ziehpunkt ist mit einem Skin für die Verbindung {jointName} versehen, die nicht Teil des zulässigen Schemas ist. Es sind nur Standard-R15-Verbindungen und Verbindungen für die Skinning-Übertragung zulässig."
Common.UGCValidation.ErrorLabel.AccessorySkinning_MissingTransferJoint,"{assetType} muss Skinning-Übertragung verwenden, aber dir fehlt die erforderliche Verbindung {requiredJointName}."
Common.UGCValidation.ErrorLabel.AccessorySkinning_NotLeaderOrFollower,"Der Ziehpunkt hat einen Skin für die Verbindung {jointName}, aber für dieses Objekt muss ein automatischer Skin erstellt werden. Du kannst nur einen Skin für {validJointNameList} erstellen."
Common.UGCValidation.ErrorLabel.AccessorySkinning_RequiredSkinningTransfer,{assetType} muss Skinning-Transfer verwenden. Bitte lege WrapLayer.AutoSkin auf EnabledOverride fest.
Common.UGCValidation.ErrorLabel.AccessorySkinning_RigidIsSkinned,"Das starre Accessoire enthält Skinning-Daten, die nicht unterstützt werden. Achte darauf, dass die Knochen nicht zusammen mit dem Mesh importiert werden."
Common.UGCValidation.ErrorLabel.AccessorySkinning_TransferJointWithoutAutoSkin,"Der Ziehpunkt enthält die Verbindung {jointName}, die nur zulässig ist, wenn WrapLayer.AutoSkin auf EnabledOverride festgelegt ist."
Common.UGCValidation.ErrorLabel.AccessorySkinning_WeightNotFull,"Eckpunkte, die mit einem Skin für Übertragungsverbindungen versehen sind, müssen vollständig gewichtet sein."
Common.UGCValidation.ErrorLabel.AnimationPack_DuplicateAnimationId,"Das Animationspaket-Bundle enthält eine doppelte Animations-ID ""{animationId}"", die von mehreren Clips verwendet wird: {instancePaths}. Jeder Animationsclip muss auf ein eindeutiges Animationsobjekt verweisen."
Common.UGCValidation.ErrorLabel.AnimationPack_InvalidR15AnimChildren,"Im Animationspaket-Bundle fehlen die erwarteten Animationstypen: {missingAnimationTypes}. Jeder Animationstyp muss einen R15Anim-Ordner haben, der genau seine erwarteten StringValue-Unterordner enthält."
Common.UGCValidation.ErrorLabel.Animation_WeightNotPositive,"Die Animation ""{animationName}"" hat einen Gewichtswert von {weight}, aber das Gewicht muss größer als 0 sein. Bitte korrigiere die Animation."
Common.UGCValidation.ErrorLabel.AssetSchemaMissingItem,Die gesuchte {ExpectedClass} mit dem Namen {ExpectedName} konnte in {ParentPath} nicht gefunden werden.
Common.UGCValidation.ErrorLabel.AssetSchemaUnexpectedItems,Die folgenden Instanzen sind nicht Teil des genehmigten Schemas und sollten entfernt werden: {UnexpectedDescendantPaths}.
Common.UGCValidation.ErrorLabel.AssetSchemaWrongRootClass,"Das hochgeladene Objekt sollte ein {ExpectedClass} sein, ist aber ein {RootClass}."
