Key,Value
Authentication.SignUp.Response.ErrorTryAgain,
Authentication.TwoStepVerification.Action.GoToSecurity,الإعدادات
Authentication.TwoStepVerification.Label.TwoStepRequired,عملية التحقق بخطوتين مطلوبة لإجراء المزيد من المعاملات. اذهب إلى الإعدادات> الأمان لإتمام عملية التحقق بخطوتين.
Authentication.TwoStepVerification.Response.TooManyAttempts,محاولات كثيرة جدًا. الرجاء المحاولة لاحقاً.
Authentication.TwoStepVerification.Title.VerificationRequired,التحقق مطلوب
AvatarGeneration.SelfieConsent.AgreeButton,موافق
AvatarGeneration.SelfieConsent.BodyTextLink,من خلال رفع صورة، فإنك تؤكد أنك تملك الحق في استخدامها، وتقبل بأن تجمع منصة Roblox عرضًا تم إنشاؤه بالذكاء الاصطناعي التوليدي وتستخدمه وتشاركه مع المصمّمين لأغراض إنشاء الأفاتار.
AvatarGeneration.SelfieConsent.CancelButton,
AvatarGeneration.SelfieConsent.PrivacyLinkText,
AvatarGeneration.SelfieConsent.QRBody,{fontStart}استخدِم هاتفك لمسح كود QR والتقاط صورة سيلفي.{fontEnd}
AvatarGeneration.SelfieConsent.QRErrorBody,{fontStart}للحصول على كود استجابة سريعة (QR) جديد، ابدأ مرة أخرى من اللعبة أو التجربة.{fontEnd}
AvatarGeneration.SelfieConsent.QRErrorTitle,{fontStart}انتهت صلاحية الجلسة{fontEnd}
AvatarGeneration.SelfieConsent.QRTitle,{fontStart}امسح كود QR للبدء{fontEnd}
AvatarGeneration.SelfieConsent.Title,استخدم الصورة لإنشاء أفاتاري.
Common.GameSorts.Label.Favorites,المفضلة
Common.Presence.Label.InExperience,في تجربة
Common.Presence.Label.Invisible,غير مرئي
Common.Presence.Label.Offline,غير متصل
Common.Presence.Label.Online,متصل
Common.Presence.Label.RobloxStudio,Roblox Studio
Common.UGCValidation.ErrorLabel.AQSFail_AnimationTooLong,الحركة طويلة جدًا ({duration} من الثواني). يجب أن يكون طول الحركات التعبيرية (Emote) {maxLength} من الثواني على الأكثر.
Common.UGCValidation.ErrorLabel.AQSFail_AnimationTooShort,الحركة قصيرة جدًا ({duration} من الثواني). يجب أن يكون طول الحركات التعبيرية (Emote) أكثر من {minLength} من الثواني.
