Key,Value
Authentication.AccountRecovery.Description.EnterEmailAddress,"Maintenant, saisis une adresse e-mail. Il peut s'agir d'une adresse e-mail déjà utilisée lors d'un achat sur Roblox."
Authentication.AccountRecovery.Description.EnterPhoneBackupCodeOrAnotherEmail,"Maintenant, saisis un numéro de téléphone, un code de secours ou une adresse e-mail. Il peut s'agir d'une adresse déjà utilisée lors d'un achat sur Roblox."
Authentication.AccountRecovery.Description.EnterPhoneNumberSecondMethod,"Maintenant, saisis un numéro de téléphone associé à ton compte."
Authentication.AccountRecovery.Description.EnterPhoneOrAnotherEmail,"Maintenant, saisis un numéro de téléphone ou une autre adresse e-mail. Il peut s'agir d'une adresse e-mail déjà utilisée lors d'un achat sur Roblox."
Authentication.AccountRecovery.Description.InvalidateCredentialInfo,Un paramètre de sécurité a peut-être été modifié à ton insu. Supprime la modification que tu ne reconnais pas.
Authentication.AccountRecovery.Description.InvalidateCredentialsIntro,Des paramètres de sécurité ont peut-être été modifiés à ton insu. Supprime les modifications que tu ne reconnais pas.
Authentication.AccountRecovery.Description.InvalidateCredentialsWarning,Conserver des modifications que tu ne reconnais pas peut mettre ton compte en danger. Toute suppression est définitive.
Authentication.AccountRecovery.Description.KeepTwoStepMethodDynamic,Tu as activé {twoStepMethod} sur ton compte. Conserve cette méthode si tu peux toujours y accéder. Nous te la demanderons lorsque tu te reconnecteras.
Authentication.AccountRecovery.Description.NoChangesMade,Ajoute une protection supplémentaire pour mieux sécuriser ton compte.
Authentication.AccountRecovery.Description.PhoneCodeSent,"Si un compte Roblox est associé à ce numéro de téléphone, tu recevras un code de vérification. Vérifie tes SMS ou WhatsApp."
Authentication.AccountRecovery.Description.PhoneCodeSentForUser,"Nous venons d'envoyer un code de vérification à 6 chiffres au numéro de téléphone que tu as fourni, s'il est associé à ton compte. Le code peut être envoyé par WhatsApp ou par SMS."
Authentication.AccountRecovery.Description.PlatformNotSupported,"La récupération de compte n'est pas prise en charge sur cette plateforme ou cet appareil. Sélectionne OK pour fermer cette fenêtre et revenir à la page de connexion. Merci d'utiliser un autre appareil pour récupérer ton compte. Ensuite, choisis Connexion rapide et suis les instructions pour te connecter en toute sécurité avec l'autre appareil connecté."
Authentication.AccountRecovery.Description.SaveTwoStepMethod,Conserve-la si tu peux toujours y accéder. Nous te demanderons de l'utiliser lorsque tu te reconnecteras.
Authentication.AccountRecovery.Description.SendCodeContactMethodConfirmation,Nous enverrons un code de vérification à 6 chiffres à la méthode de contact que tu as fournie si elle est associée à un compte Roblox.
Authentication.AccountRecovery.Description.SomethingWentWrongVerifyAgain,Une erreur s'est produite. Appuie sur « Continuer » pour réessayer.
Authentication.AccountRecovery.Description.TrustedLocationResetPassword,"Salut {username}, tu accèdes à ton compte depuis un lieu de confiance. Réinitialise ton mot de passe maintenant pour retrouver l'accès à ton compte Roblox."
Authentication.AccountRecovery.Description.TrustedLocationResetPasswordSkip2SV,"Bonjour {username}, tu accèdes à ton compte depuis un lieu de confiance. Tu peux ignorer la vérification en 2 étapes et réinitialiser ton mot de passe maintenant pour terminer la récupération."
Authentication.AccountRecovery.Description.TrustedLocationSkip2SV,"Salut {username}, tu accèdes à ton compte depuis un lieu de confiance. Tu peux ignorer la vérification en 2 étapes et terminer la récupération."
Authentication.AccountRecovery.Description.UpdateEmailConfirmation,Nous avons remarqué que tu as utilisé un email différent pour récupérer ton compte. Nous allons mettre à jour ton adresse email pour qu'elle soit : {email}
Authentication.AccountRecovery.Description.VerifyAgain,Vérifie qu'il s'agit bien de toi avant de récupérer ton compte avec la vérification en 2 étapes activée. Appuie sur « Continuer » pour relancer la procédure de vérification en 2 étapes.
Authentication.AccountRecovery.Heading.AccountSecuredConfirmation,Ton compte est sécurisé
Authentication.AccountRecovery.Heading.BackupCodesGenerated,Codes de secours générés
Authentication.AccountRecovery.Heading.BillingEmailAdded,Adresse e-mail de facturation ajoutée
Authentication.AccountRecovery.Heading.CannotRecoverAccount,Nous ne pouvons pas récupérer ton compte
Authentication.AccountRecovery.Heading.ChooseVerificationMethod,Choisis une méthode de vérification.
Authentication.AccountRecovery.Heading.EmailAdded,Adresse e-mail ajoutée
Authentication.AccountRecovery.Heading.EnhancedProtectionPostRecoveryPasskey,S'agit-il de ton appareil personnel ?
Authentication.AccountRecovery.Heading.EnhancedProtectionProgramPostRecoveryNoPasskey,"Tu peux rencontrer des fonctionnalités limitées sur cet appareil, car il ne prend pas en charge le passkey"
Authentication.AccountRecovery.Heading.EnrolledInEnhancedProtection,Inscription au programme de protection renforcée effectuée
Authentication.AccountRecovery.Heading.EnterSecondMethod,Choisis une deuxième méthode de vérification
Authentication.AccountRecovery.Heading.InvalidateCredential,Modification apportée à ton compte
Authentication.AccountRecovery.Heading.InvalidateCredentials,Modifications apportées à ton compte
Authentication.AccountRecovery.Heading.NoChangesMade,Aucune modification effectuée
Authentication.AccountRecovery.Heading.PasskeyAdded,Passkey ajouté
Authentication.AccountRecovery.Heading.PhoneNumberAdded,Numéro de téléphone ajouté
Authentication.AccountRecovery.Heading.ResetPassword,Réinitialiser le mot de passe
Authentication.AccountRecovery.Heading.RobloxAccountRecovery,Récupération du compte Roblox
Authentication.AccountRecovery.Heading.SaveTwoStepMethod,Conserver la méthode de vérification en deux étapes existante ?
Authentication.AccountRecovery.Heading.TwoStepMethodAdded,Méthode {value} ajoutée
Authentication.AccountRecovery.Heading.UpdateEmail,Mettre à jour ton adresse e-mail
Authentication.AccountRecovery.Heading.UseAnotherDevice,Utiliser un autre appareil
Authentication.AccountRecovery.Label.AddEmail,Ajouter un e-mail
Authentication.AccountRecovery.Label.Authenticator2sv,appli authenticator 2sv
Authentication.AccountRecovery.Label.Authenticator2svCapitalized,Appli Authenticator 2SV
Authentication.AccountRecovery.Label.BackupCode,Code de secours
Authentication.AccountRecovery.Label.ConfirmNewPasswordV2,Confirmer le nouveau mot de passe
Authentication.AccountRecovery.Label.Email2sv,e-mail 2sv
Authentication.AccountRecovery.Label.Email2svCapitalized,Adresse e-mail 2SV
Authentication.AccountRecovery.Label.EmailUnavailable,Adresse e-mail indisponible
Authentication.AccountRecovery.Label.EnterCode,Entrer le code
Authentication.AccountRecovery.Label.NewPasswordV2,Nouveau mot de passe
Authentication.AccountRecovery.Label.Or,Ou
Authentication.AccountRecovery.Label.PreviousContactMethodVerification,{contactMethod} vérifié(e)
Authentication.AccountRecovery.Label.ResendCode,Renvoyer le code
Authentication.AccountRecovery.Label.ResendCodeTimer,Renvoyer le code dans {timeLeft}s
Authentication.AccountRecovery.Label.SecurityKey2sv,clé de sécurité 2sv
Authentication.AccountRecovery.Label.SecurityKey2svCapitalized,Clé de sécurité 2SV
Authentication.AccountRecovery.Label.UsernameEmail,Nom d'utilisateur/E-mail
