Key,Value
Authentication.AccountRecovery.Heading.EnhancedProtectionProgramPostRecoveryNoPasskey,You may experience limited behaviors on this device because it doesn’t support passkey
Authentication.AccountRecovery.Heading.EnrolledInEnhancedProtection,Enrolled in Enhanced Protection Program
Authentication.AccountRecovery.Heading.EnterSecondMethod,Enter a second verification method
Authentication.AccountRecovery.Heading.InvalidateCredential,Change to your account
Authentication.AccountRecovery.Heading.InvalidateCredentials,Changes to your account
Authentication.AccountRecovery.Heading.NoChangesMade,No changes were made
Authentication.AccountRecovery.Heading.PasskeyAdded,Passkey added
Authentication.AccountRecovery.Heading.PhoneNumberAdded,Phone number added
Authentication.AccountRecovery.Heading.ResetPassword,Reset Password
Authentication.AccountRecovery.Heading.RobloxAccountRecovery,Roblox Account Recovery
Authentication.AccountRecovery.Heading.SaveTwoStepMethod,Should we keep the existing two-step verification method?
Authentication.AccountRecovery.Heading.TwoStepMethodAdded,{value} added
Authentication.AccountRecovery.Heading.UpdateEmail,Update Your Email
Authentication.AccountRecovery.Heading.UseAnotherDevice,Use another device
Authentication.AccountRecovery.Label.AddEmail,Add an email
Authentication.AccountRecovery.Label.Authenticator2sv,authenticator app 2sv
Authentication.AccountRecovery.Label.Authenticator2svCapitalized,Authenticator 2SV
Authentication.AccountRecovery.Label.BackupCode,Backup code
Authentication.AccountRecovery.Label.ConfirmNewPasswordV2,Confirm new password
Authentication.AccountRecovery.Label.Email2sv,email 2sv
Authentication.AccountRecovery.Label.Email2svCapitalized,Email 2SV
Authentication.AccountRecovery.Label.EmailUnavailable,email unavailable
Authentication.AccountRecovery.Label.EnterCode,Enter the code
Authentication.AccountRecovery.Label.NewPasswordV2,New password
Authentication.AccountRecovery.Label.Or,Or
Authentication.AccountRecovery.Label.PreviousContactMethodVerification,{contactMethod} verified
Authentication.AccountRecovery.Label.ResendCode,Resend code
Authentication.AccountRecovery.Label.ResendCodeTimer,Resend code in {timeLeft}s
Authentication.AccountRecovery.Label.SecurityKey2sv,security key 2sv
Authentication.AccountRecovery.Label.SecurityKey2svCapitalized,Security Key 2SV
Authentication.AccountRecovery.Label.UsernameEmail,Username/Email
Authentication.AccountRecovery.LabelEmail,Email
Authentication.AccountRecovery.LabelPhone,Phone
Authentication.AccountRecovery.LabelTwoStepVerification,Two Step Verification
Authentication.AccountRecovery.Message.Error.AccountNotFound,Account not found.
Authentication.AccountRecovery.Message.Error.InvalidCode,Invalid code.
Authentication.AccountRecovery.Message.Error.InvalidEmail,Invalid email.
Authentication.AccountRecovery.Message.Error.InvalidPassword,Invalid password.
Authentication.AccountRecovery.Message.Error.TooManyRequests,Too many requests made. Try again later.
Authentication.AccountRecovery.Message.Error.TryADifferentOne,Try a different one.
Authentication.AccountRecovery.MessagePasswordsDoNotMatch,Passwords do not match.
Authentication.AccountRecovery.MessageUnknownError,Unknown Error
Authentication.AccountSwitch.Action.AddAccount,Add Account
Authentication.AccountSwitch.Action.AddAnAccount,Add an account
Authentication.AccountSwitch.Action.Continue,
Authentication.AccountSwitch.Action.CreateNewAccount,Create New Account
Authentication.AccountSwitch.Action.LogoutAllAccounts,Log Out of All Accounts
Authentication.AccountSwitch.Action.RemoveAllAccounts,Remove all accounts?
Authentication.AccountSwitch.Action.SignInToExistingAccount,Sign in to existing account
Authentication.AccountSwitch.Action.SwitchAccount,Switch Accounts
Authentication.AccountSwitch.Description.AccountLimit.2,"You’ve reached your account limit. To add a new one, remove an account first."
Authentication.AccountSwitch.Description.ContinueSignOutOthers,Continuing as {username} will sign you out of your other accounts.
Authentication.AccountSwitch.Description.LogoutConfirmation,You’ll need to log out of your other Roblox accounts on this device before adding a new account
Authentication.AccountSwitch.Description.PleaseTryAgainLater,Please try again later
Authentication.AccountSwitch.Description.RemoveAllAccounts,"Once you sign out, all accounts will be removed from this device."
Authentication.AccountSwitch.Description.RemoveCurrentAccount,"If you do this, you won’t see this account on this device anymore, unless you sign in again. You’ll return to the landing page."
Authentication.AccountSwitch.Description.TryLoggingInDirectly.2,Try logging in directly
Authentication.AccountSwitch.Header.CantSwitchAccountsSentenceCase,Can't switch accounts
Authentication.AccountSwitch.Header.LogoutAllAccounts,
Authentication.AccountSwitch.Header.RemoveCurrentAccount,Remove current account?
Authentication.AccountSwitch.Header.SignOutOtherAccounts,Sign out of other accounts?
Authentication.AccountSwitch.Header.SwitchAccountSentenceCase,Switch accounts
Authentication.AccountSwitch.Heading.SwitchAccount,
Authentication.AccountSwitch.Label.AccountLimitReached.2,"To add an account, log out of one first."
Authentication.CrossDevice.Action.CancelLogin,
Authentication.CrossDevice.Action.ConfirmLogin,Confirm Login
Authentication.CrossDevice.Action.Done,Done
Authentication.CrossDevice.Action.Enter,Enter
Authentication.CrossDevice.Action.GoBack,Go Back
Authentication.CrossDevice.Action.Next,
Authentication.CrossDevice.Action.TryAgain,Try Again
Authentication.CrossDevice.Description.ConfirmOnSignedInDevice,Confirm on your signed-in device to continue.
Authentication.CrossDevice.Description.QuickSignInInstructionsModal,"On your signed-in device, scan the QR code or go to <b>More > Quick sign in</b> and enter the code below."
Authentication.CrossDevice.Description.SigningInAs,Signing in as {identifier}
Authentication.CrossDevice.EnterCodeInstruction,then enter this code
Authentication.CrossDevice.GoToInstruction,On your computer or phone go to:
Authentication.CrossDevice.Heading.LoginAnotherDevice,Log in to another Device
Authentication.CrossDevice.Heading.LoginCode,Quick Sign In Code
Authentication.CrossDevice.Heading.LoginWarning,"TO LOG IN, MAKE SURE YOU:"
Authentication.CrossDevice.Heading.QuickLogin,Quick Sign-in
Authentication.CrossDevice.Heading.SignInWithQrCode,Sign in with QR code
Authentication.CrossDevice.Heading.SigninAnotherDevice,Sign in on another device
Authentication.CrossDevice.Heading.WaitingForConfirmation,Waiting for confirmation
Authentication.CrossDevice.Heading.Warning,WARNING!
Authentication.CrossDevice.Label.CodeHeader,Option 2
Authentication.CrossDevice.Label.CodeNotVerified,The Quick Sign In code was not verified.
Authentication.CrossDevice.Label.Confirm,Confirm
Authentication.CrossDevice.Label.ConfirmAndLoginAs,Confirming login as %s on your other device
Authentication.CrossDevice.Label.ConfirmOnDevice,CONFIRM LOGIN ON YOUR OTHER DEVICE
Authentication.CrossDevice.Label.ConfirmationMessage1,You are about to sign in to: %s
Authentication.CrossDevice.Label.ConfirmationMessage2,"This new device will receive access to your account, Robux, and inventory."
Authentication.CrossDevice.Label.ConfirmationMessage3,Please confirm this is you.
Authentication.CrossDevice.Label.Continue,
Authentication.CrossDevice.Label.DevicePrompt,GO TO YOUR LOGGED IN DEVICE TO ENTER THIS CODE AND EXPLORE
Authentication.CrossDevice.Label.EnterCodeTextBox,Enter code
Authentication.CrossDevice.Label.EnterOtherDeviceCode,Enter Code from Other Device
Authentication.CrossDevice.Label.InvalidLocationError,We couldn't match your location to the device trying to log in. Please try again on the same network.
Authentication.CrossDevice.Label.LogginInAs,Logging in as %s
Authentication.CrossDevice.Label.LoginInstructions,"On your logged in device, go to:"
Authentication.CrossDevice.Label.LoginInstructionsV2,Open your Roblox app and go to:
Authentication.CrossDevice.Label.LoginLocation,<b>Account Settings > Quick Log In</b> to enter your code.
Authentication.CrossDevice.Label.LoginLocationV2,<b>More Page > Quick Sign In</b> to enter your code.
Authentication.CrossDevice.Label.NotAvailableOnNetwork,This feature is not available on this network. Please try again later
Authentication.CrossDevice.Label.OK,
Authentication.CrossDevice.Label.QrCodeError,"We are having problems displaying a QR Code. Please refresh this page, or follow the instructions below to log in on another device."
Authentication.CrossDevice.Label.QrCodeLogin,QR Code Log In
Authentication.CrossDevice.Label.QrHeader,Option 1
Authentication.CrossDevice.Label.QrInstructions,Scan this QR code from your logged in device's camera.
Authentication.CrossDevice.Label.QuestCDLShortLinkInstruction,Go to <b>roblox.com/quest</b> on your computer or phone to enter this code and complete login.
Authentication.CrossDevice.Label.QuickSignInWarning,"For your security, only enter codes you generated from your new device."
Authentication.CrossDevice.Label.SigninInstructionHeading,To sign in as {username} on a new device:
Authentication.CrossDevice.Label.SigninInstructionOne,"1. On your new device, open the login page"
Authentication.CrossDevice.Label.SigninInstructionThree,3. Enter that code into the field below
Authentication.CrossDevice.Label.SigninInstructionTwo,2. Select Quick Sign-in to get a code
Authentication.CrossDevice.Label.Warning1,• Only enter codes that you requested
Authentication.CrossDevice.Label.Warning2,• Never enter another user's code
Authentication.CrossDevice.Response.InvalidCode,The code you entered was invalid. Please make sure you entered it correctly.
Authentication.CrossDevice.Response.LoginFail,Log in Failed
Authentication.CrossDevice.Response.LoginSuccess,Log in Successful
Authentication.Login.Action.ConnectionError.RetryReady,
Authentication.Login.Action.ConnectionError.RetryWait,Retry in: {WaitTime}
Authentication.Login.Action.Continue,
Authentication.Login.Action.DownloadNow,Download Now
Authentication.Login.Action.EmailACode,Email a code
Authentication.Login.Action.EmailMeCode,Email me a code
Authentication.Login.Action.EmailOtpWaitTime,Resend code in {WaitTime}s
Authentication.Login.Action.ForgotPasswordOrUsernameQuestionCapitalized,Forgot Password or Username?
Authentication.Login.Action.ForgotUsername,Forgot username?
Authentication.Login.Action.ForgotUsernameOrPassword,Forgot username or password?
Authentication.Login.Action.LogInEmailOneTimeCode,Email Me a One-Time Code
Authentication.Login.Action.NeedHelp,Need help?
Authentication.Login.Action.Next,
Authentication.Login.Action.QQLogin,QQ Login
Authentication.Login.Action.QuickSignIn,Quick sign-in
Authentication.Login.Action.ResendCode,
Authentication.Login.Action.SendCodeSentenceCase,Send code
Authentication.Login.Action.SendVerificationEmail,Send Verification Email
Authentication.Login.Action.SignIn,Sign In
Authentication.Login.Action.SignInSentenceCase,Sign in
Authentication.Login.Action.SignInWithQrCode,
Authentication.Login.Action.UsePasskey,Use passkey
Authentication.Login.Action.WeChatLogin,WeChat Login
Authentication.Login.Button.CloseAndSwitchPlatformAccount,Exit Roblox to switch account for {platformAccountName}
Authentication.Login.Button.UseDifferentRobloxAccount,Use a different Roblox account
Authentication.Login.Description.AccountSelectorHelp,All of your associated accounts are listed here.
Authentication.Login.Description.DownloadNewVersion,This version of Roblox isn’t available for your account. Please download the correct version to continue.
Authentication.Login.Description.EnterOneTimeCodeHelpV2,Enter the code we just sent to: {email}
Authentication.Login.Description.GetOneTimeCodeHelp,Enter the email verified on your account to receive a one-time code.
Authentication.Login.Description.PasskeyDescription,"Your account has passkey, a more secure sign-in method than password. You can use your fingerprint, face, or screen lock to sign in on this device."
Authentication.Login.Description.PasskeyLoginIncompatibleDevice,"We cannot determine whether your device supports passkey. Try again, or tap “Trouble signing in” to recover your account with an email or phone number."
Authentication.Login.Description.PasskeyMobileOnly,Passkeys are only available on mobile. Choose another way to sign in.
Authentication.Login.Description.SigningInWith,Signing in with <b>{identifier}</b>
Authentication.Login.Description.UsernameHandle,@<b>{username}</b>
Authentication.Login.Description.VerificationCodeSentTo,"If a Roblox account exists, you'll receive a verification code at {email}"
Authentication.Login.Error.PasskeyOnlyAccount,Your account only has a passkey set up for sign-in. Try signing in with your passkey or recover your account.
Authentication.Login.Error.PlatformAccountConnectionFailure,Cannot verify platform account. Please try again later.
Authentication.Login.Heading.EnterYourCode,Enter your code
Authentication.Login.Heading.IncompatibleAccounts,Incompatible Accounts
Authentication.Login.Heading.Login,Login
Authentication.Login.Heading.LoginRoblox,Login to Roblox
Authentication.Login.Heading.LoginRobloxAccountSwitching,Login To Existing Account
Authentication.Login.Heading.NewAppAvailable,Download New Roblox App
Authentication.Login.Heading.SignIn,
Authentication.Login.Heading.SignInAnotherWay,Sign in another way
Authentication.Login.Heading.SignInToRoblox,Sign in to Roblox
Authentication.Login.Heading.SignInWithRoblox,Sign in with Roblox
Authentication.Login.Label.AccountSelectorTitle,Select Account to Log In
Authentication.Login.Label.AgedUpUsername,Add a unique @username
Authentication.Login.Label.ConnectionError.RetryDisabled,"Sorry, there was a problem reaching our servers.

Retrying has been disabled for now. Please try again later."
Authentication.Login.Label.ConnectionError.RetryReady,"Sorry, there was a problem reaching our servers.

Please try again."
Authentication.Login.Label.ConnectionError.RetryWait,"Sorry, there was a problem reaching our servers.

Please wait and try again."
Authentication.Login.Label.ConnectionError.Title,Connection Error
Authentication.Login.Label.Email,
Authentication.Login.Label.EmailAddress,Email address
Authentication.Login.Label.EmailNeedsVerification,Your email needs verification
Authentication.Login.Label.EmailOrPhone,Email or phone
Authentication.Login.Label.EnterCode,
Authentication.Login.Label.EnterEmail,Enter email
Authentication.Login.Label.EnterHere,Enter here
Authentication.Login.Label.EnterOneTimeCode,Enter One-Time Code
Authentication.Login.Label.EnterOneTimeCodeLoginHelp,Enter the code we just sent to your email
Authentication.Login.Label.EnterPassword,Enter password
Authentication.Login.Label.EnterYourPassword,Enter your password
