Key,Value
Authentication.AccountRecovery.Description.EmailCodeSentForUser,เราเพิ่งส่งรหัสยืนยัน 6 หลักไปยังอีเมลที่คุณระบุไว้หากเชื่อมโยงกับบัญชี โปรดตรวจสอบโฟลเดอร์ทั้งหมดของคุณ รวมถึงโฟลเดอร์สแปม
Authentication.AccountRecovery.Description.EmailUnavailableInfo,อีเมลบางรายการอาจไม่พร้อมใช้งานเนื่องจากมีการเปลี่ยนแปลงอายุ อย่างไรก็ตาม อีเมลเหล่านั้นยังคงใช้สำหรับการกู้คืนบัญชีได้
Authentication.AccountRecovery.Description.EnhancedProtectionAddPasskey,คุณลงทะเบียนในโปรแกรมการป้องกันขั้นสูงแล้ว เพื่อรักษาบัญชีของคุณให้ปลอดภัย คุณจะต้องใช้พาสคีย์หรือคีย์รักษาความปลอดภัยเพื่อลงชื่อเข้าใช้{lineBreak}{lineBreak}หากคุณใช้อุปกรณ์ส่วนตัว ขอแนะนำให้ตั้งค่าพาสคีย์ใหม่ทันที จะได้ลงชื่อเข้าใช้บนอุปกรณ์นี้ง่ายขึ้นในอนาคต หากใช้อุปกรณ์ที่ใช้ร่วมกันหรืออุปกรณ์สาธารณะ ให้ข้ามขั้นตอนนี้ไป
Authentication.AccountRecovery.Description.EnterABackupCode,ต่อไป ให้กรอกรหัสสำรองที่คุณบันทึกไว้
Authentication.AccountRecovery.Description.EnterContactMethodAssociatedWithYourAccount,กรอกอีเมลหรือหมายเลขโทรศัพท์ที่อาจเชื่อมโยงกับบัญชีของคุณ หากเคยทำการซื้อมาก่อน ลองใช้อีเมลสำหรับการเรียกเก็บเงินของคุณดู
Authentication.AccountRecovery.Description.EnterEmailAddress,ต่อไป กรอกอีเมล อาจเป็นอีเมลที่คุณเคยใช้ซื้อของใน Roblox
Authentication.AccountRecovery.Description.EnterPhoneBackupCodeOrAnotherEmail,ต่อไป กรอกหมายเลขโทรศัพท์ รหัสสำรอง หรืออีเมลอื่น อาจเป็นอีเมลที่คุณเคยใช้ซื้อของใน Roblox
Authentication.AccountRecovery.Description.EnterPhoneNumberSecondMethod,ต่อไป ให้กรอกหมายเลขโทรศัพท์ที่เชื่อมโยงกับบัญชีของคุณ
Authentication.AccountRecovery.Description.EnterPhoneOrAnotherEmail,ต่อไป กรอกหมายเลขโทรศัพท์หรืออีเมลอื่น อาจเป็นอีเมลที่คุณเคยใช้ซื้อของใน Roblox
Authentication.AccountRecovery.Description.InvalidateCredentialInfo,เราพบการเปลี่ยนแปลงด้านความปลอดภัยที่คุณอาจไม่ได้เป็นผู้ดำเนินการ โปรดลบรายการที่คุณไม่รู้จักออก
Authentication.AccountRecovery.Description.InvalidateCredentialsIntro,
Authentication.AccountRecovery.Description.InvalidateCredentialsWarning,หากเก็บการเปลี่ยนแปลงที่คุณไม่รู้จักไว้ บัญชีของคุณอาจมีความเสี่ยง เมื่อนำการเปลี่ยนแปลงออกแล้วจะไม่สามารถเรียกคืนได้
Authentication.AccountRecovery.Description.KeepTwoStepMethodDynamic,คุณเปิดใช้งาน {twoStepMethod} ในบัญชีของคุณแล้ว โปรดเก็บไว้หากคุณยังเข้าถึงได้ เราจะขอให้คุณใช้เมื่อลงชื่อเข้าใช้อีกครั้ง
Authentication.AccountRecovery.Description.NoChangesMade,รักษาบัญชีของคุณให้ปลอดภัยโดยเพิ่มเกราะปกป้องอีกชั้น
Authentication.AccountRecovery.Description.PhoneCodeSent,หากมีบัญชี Roblox ที่ใช้หมายเลขโทรศัพท์นี้ คุณจะได้รับรหัสการตรวจสอบยืนยัน โปรดตรวจสอบ SMS หรือ WhatsApp
Authentication.AccountRecovery.Description.PhoneCodeSentForUser,เราเพิ่งส่งรหัสยืนยัน 6 หลักไปยังหมายเลขโทรศัพท์ที่คุณระบุไว้หากเชื่อมโยงกับบัญชี ระบบอาจส่งรหัสไปให้ทาง WhatsApp หรือ SMS
Authentication.AccountRecovery.Description.PlatformNotSupported,แพลตฟอร์มหรืออุปกรณ์นี้ไม่รองรับการกู้คืนบัญชี เลือก “ตกลง” เพื่อปิดหน้าต่างนี้และกลับไปที่หน้าลงชื่อเข้าใช้ โปรดกู้คืนบัญชีของคุณโดยใช้อุปกรณ์อื่น จากนั้นเลือก “ลงชื่อเข้าใช้ด่วน” และทำตามคำแนะนำเพื่อลงชื่อเข้าใช้อย่างปลอดภัยด้วยอุปกรณ์อื่นที่ลงชื่อเข้าใช้อยู่
Authentication.AccountRecovery.Description.SaveTwoStepMethod,เก็บไว้หากคุณยังเข้าถึงได้ เราจะขอให้คุณใช้เมื่อลงชื่อเข้าใช้อีกครั้ง
Authentication.AccountRecovery.Description.SendCodeContactMethodConfirmation,เราจะส่งรหัสยืนยัน 6 หลักไปยังวิธีติดต่อที่คุณระบุไว้หากเชื่อมโยงกับบัญชี Roblox
Authentication.AccountRecovery.Description.SomethingWentWrongVerifyAgain,"มีบางอย่างผิดพลาด กด ""ดำเนินการต่อ"" เพื่อลองอีกครั้ง"
Authentication.AccountRecovery.Description.TrustedLocationResetPassword,สวัสดีคุณ {username} คุณกำลังเข้าถึงบัญชีจากตำแหน่งที่เชื่อถือได้ รีเซ็ตรหัสผ่านตอนนี้เลย เพื่อให้เข้าถึงบัญชี Roblox ของคุณได้อีก
Authentication.AccountRecovery.Description.TrustedLocationResetPasswordSkip2SV,สวัสดีคุณ {username} คุณกำลังเข้าถึงบัญชีจากตำแหน่งที่เชื่อถือได้ ข้ามการตรวจสอบยืนยันตัวตน 2 ขั้นตอนและรีเซ็ตรหัสผ่านเพื่อกู้คืนบัญชีให้เสร็จได้เลย
Authentication.AccountRecovery.Description.TrustedLocationSkip2SV,สวัสดีคุณ {username} คุณกำลังเข้าถึงบัญชีจากตำแหน่งที่เชื่อถือได้ ข้ามการตรวจสอบยืนยันตัวตน 2 ขั้นตอนและกู้คืนบัญชีให้เสร็จได้เลย
Authentication.AccountRecovery.Description.UpdateEmailConfirmation,เราสังเกตเห็นว่าคุณใช้อีเมลอื่นในการกู้คืนบัญชี เราจะอัปเดตที่อยู่อีเมลของคุณเป็น: {email}
Authentication.AccountRecovery.Description.VerifyAgain,ยืนยันว่าเป็นคุณก่อนกู้คืนบัญชีที่เปิดใช้งานการตรวจสอบยืนยันตัวตน 2 ขั้นตอน กด “ดำเนินการต่อ” เพื่อเรียกใช้การตรวจสอบยืนยันตัวตน 2 ขั้นตอนอีกครั้ง
Authentication.AccountRecovery.Heading.AccountSecuredConfirmation,บัญชีของคุณปลอดภัยแล้ว
Authentication.AccountRecovery.Heading.BackupCodesGenerated,มีการสร้างรหัสสำรอง
Authentication.AccountRecovery.Heading.BillingEmailAdded,มีการเพิ่มอีเมลสำหรับการเรียกเก็บเงิน
Authentication.AccountRecovery.Heading.CannotRecoverAccount,เราไม่สามารถกู้คืนบัญชีของคุณได้
Authentication.AccountRecovery.Heading.ChooseVerificationMethod,เลือกวิธีการตรวจสอบยืนยัน
Authentication.AccountRecovery.Heading.EmailAdded,มีการเพิ่มอีเมล
Authentication.AccountRecovery.Heading.EnhancedProtectionPostRecoveryPasskey,คุณใช้อุปกรณ์ส่วนตัวของคุณอยู่ใช่ไหม?
Authentication.AccountRecovery.Heading.EnhancedProtectionProgramPostRecoveryNoPasskey,คุณอาจใช้งานได้จำกัดบนอุปกรณ์นี้ เนื่องจากไม่รองรับพาสคีย์
Authentication.AccountRecovery.Heading.EnrolledInEnhancedProtection,มีการลงทะเบียนในโปรแกรมการป้องกันขั้นสูง
Authentication.AccountRecovery.Heading.EnterSecondMethod,ระบุวิธีตรวจสอบยืนยันตัวตนที่สอง
Authentication.AccountRecovery.Heading.InvalidateCredential,การเปลี่ยนแปลงในบัญชีของคุณ
Authentication.AccountRecovery.Heading.InvalidateCredentials,การเปลี่ยนแปลงบัญชีของคุณ
Authentication.AccountRecovery.Heading.NoChangesMade,ไม่มีการเปลี่ยนแปลงใดๆ
Authentication.AccountRecovery.Heading.PasskeyAdded,มีการเพิ่มพาสคีย์
Authentication.AccountRecovery.Heading.PhoneNumberAdded,มีการเพิ่มหมายเลขโทรศัพท์
Authentication.AccountRecovery.Heading.ResetPassword,
Authentication.AccountRecovery.Heading.RobloxAccountRecovery,การกู้คืนบัญชี Roblox
Authentication.AccountRecovery.Heading.SaveTwoStepMethod,ให้เราเก็บวิธีตรวจสอบยืนยันตัวตน 2 ขั้นตอนที่มีอยู่ไว้ไหม?
Authentication.AccountRecovery.Heading.TwoStepMethodAdded,มีการเพิ่ม{value}
Authentication.AccountRecovery.Heading.UpdateEmail,อัปเดตอีเมลของคุณ
Authentication.AccountRecovery.Heading.UseAnotherDevice,ใช้อุปกรณ์อื่น
Authentication.AccountRecovery.Label.AddEmail,เพิ่มอีเมล
Authentication.AccountRecovery.Label.Authenticator2sv,แอปเครื่องมือยืนยันตัวตนสำหรับการตรวจสอบยืนยันตัวตน 2 ขั้นตอน
Authentication.AccountRecovery.Label.Authenticator2svCapitalized,การตรวจสอบยืนยันตัวตน 2 ขั้นตอนด้วยเครื่องมือยืนยันตัวตน
Authentication.AccountRecovery.Label.BackupCode,รหัสสำรอง
Authentication.AccountRecovery.Label.ConfirmNewPasswordV2,ยืนยันรหัสผ่านใหม่
Authentication.AccountRecovery.Label.Email2sv,อีเมลสำหรับการตรวจสอบยืนยันตัวตน 2 ขั้นตอน
Authentication.AccountRecovery.Label.Email2svCapitalized,การตรวจสอบยืนยันตัวตน 2 ขั้นตอนด้วยอีเมล
Authentication.AccountRecovery.Label.EmailUnavailable,อีเมลไม่พร้อมใช้งาน
Authentication.AccountRecovery.Label.EnterCode,กรอกรหัส
Authentication.AccountRecovery.Label.NewPasswordV2,รหัสผ่านใหม่
Authentication.AccountRecovery.Label.Or,หรือ
Authentication.AccountRecovery.Label.PreviousContactMethodVerification,{contactMethod} ได้รับการยืนยันแล้ว
Authentication.AccountRecovery.Label.ResendCode,ส่งรหัสอีกครั้ง
Authentication.AccountRecovery.Label.ResendCodeTimer,ส่งรหัสอีกครั้งในอีก {timeLeft} วินาที
Authentication.AccountRecovery.Label.SecurityKey2sv,คีย์รักษาความปลอดภัยสำหรับการตรวจสอบยืนยันตัวตน 2 ขั้นตอน
Authentication.AccountRecovery.Label.SecurityKey2svCapitalized,การตรวจสอบยืนยันตัวตน 2 ขั้นตอนด้วยคีย์รักษาความปลอดภัย
Authentication.AccountRecovery.Label.UsernameEmail,ชื่อผู้ใช้/อีเมล
Authentication.AccountRecovery.LabelEmail,อีเมล
Authentication.AccountRecovery.LabelPhone,หมายเลขโทรศัพท์
Authentication.AccountRecovery.LabelTwoStepVerification,การตรวจสอบยืนยันตัวตน 2 ขั้นตอน
Authentication.AccountRecovery.Message.Error.AccountNotFound,ไม่พบบัญชี
Authentication.AccountRecovery.Message.Error.InvalidCode,รหัสไม่ถูกต้อง
Authentication.AccountRecovery.Message.Error.InvalidEmail,อีเมลไม่ถูกต้อง
Authentication.AccountRecovery.Message.Error.InvalidPassword,รหัสผ่านไม่ถูกต้อง
Authentication.AccountRecovery.Message.Error.TooManyRequests,มีการส่งคำขอมากเกินไป ลองอีกครั้งในภายหลัง
Authentication.AccountRecovery.Message.Error.TryADifferentOne,ลองใช้ชื่ออื่น
Authentication.AccountRecovery.MessagePasswordsDoNotMatch,รหัสผ่านไม่ตรงกัน
Authentication.AccountRecovery.MessageUnknownError,ข้อผิดพลาดที่ไม่ทราบสาเหตุ
Authentication.AccountSwitch.Action.AddAccount,เพิ่มบัญชี
Authentication.AccountSwitch.Action.AddAnAccount,
Authentication.AccountSwitch.Action.Continue,
Authentication.AccountSwitch.Action.CreateNewAccount,สร้างบัญชีใหม่
Authentication.AccountSwitch.Action.LogoutAllAccounts,ลงชื่อออกจากบัญชีทั้งหมด
Authentication.AccountSwitch.Action.RemoveAllAccounts,ลบบัญชีทั้งหมดใช่ไหม?
Authentication.AccountSwitch.Action.SignInToExistingAccount,ลงชื่อเข้าใช้บัญชีที่มีอยู่
Authentication.AccountSwitch.Action.SwitchAccount,สลับบัญชี
Authentication.AccountSwitch.Description.AccountLimit.2,คุณมีบัญชีถึงจำนวนสูงสุดแล้ว หากต้องการเพิ่มบัญชีใหม่ โปรดลบบัญชีที่มีอยู่ออกก่อน
Authentication.AccountSwitch.Description.ContinueSignOutOthers,การดำเนินการต่อโดยใช้ {username} จะนำคุณออกจากระบบบัญชีอื่นของคุณ
Authentication.AccountSwitch.Description.LogoutConfirmation,คุณจะต้องลงชื่อออกจากบัญชี Roblox บัญชีอื่นของคุณบนอุปกรณ์นี้ก่อนจึงจะเพิ่มบัญชีใหม่ได้
Authentication.AccountSwitch.Description.PleaseTryAgainLater,โปรดลองอีกครั้งในภายหลัง
Authentication.AccountSwitch.Description.RemoveAllAccounts,เมื่อคุณลงชื่อออก บัญชีทั้งหมดจะถูกลบออกจากอุปกรณ์นี้
Authentication.AccountSwitch.Description.RemoveCurrentAccount,หากลบออก คุณจะกลับไปที่หน้า Landing Page และจะไม่เห็นบัญชีนี้บนอุปกรณ์นี้อีกต่อไป เว้นแต่จะลงชื่อเข้าใช้อีกครั้ง
Authentication.AccountSwitch.Description.TryLoggingInDirectly.2,โปรดลงชื่อเข้าใช้โดยตรง
Authentication.AccountSwitch.Header.CantSwitchAccountsSentenceCase,ไม่สามารถสลับบัญชีได้
Authentication.AccountSwitch.Header.LogoutAllAccounts,
Authentication.AccountSwitch.Header.RemoveCurrentAccount,ลบบัญชีปัจจุบันใช่ไหม?
Authentication.AccountSwitch.Header.SignOutOtherAccounts,ลงชื่อออกจากบัญชีอื่นใช่ไหม?
Authentication.AccountSwitch.Header.SwitchAccountSentenceCase,
Authentication.AccountSwitch.Heading.SwitchAccount,
Authentication.AccountSwitch.Label.AccountLimitReached.2,หากต้องการเพิ่มบัญชี โปรดลงชื่อออกก่อน
Authentication.CrossDevice.Action.CancelLogin,
