Key,Value
Authentication.Login.Response.InvalidPasskeyCredential,"Не удалось войти с этим ключом доступа. Чтобы восстановить доступ, нажми «Не помню пароль или имя пользователя»."
Authentication.Login.Response.MoreThanOneUsername,"Этот адрес эл. почты привязан к нескольким пользователям. Войди, используя своё имя пользователя."
Authentication.Login.Response.RelinkingFreeze,Этот аккаунт Roblox был привязан к другому аккаунту на: {platform} в последние 90 дней. Попробуй войти с другим аккаунтом Roblox.
Authentication.Login.Response.Require2FA,"Двухшаговая проверка не поддерживается на консоли. Следуй инструкциям справа, чтобы выполнить безопасный вход."
Authentication.Login.Response.Require2FAGeneric,"Дополнительная обязательная проверка не поддерживается на этом устройстве. Следуй инструкциям справа, чтобы выполнить безопасный вход."
Authentication.Login.Response.ServiceUnavailable,Сервис недоступен. Повтори попытку позже.
Authentication.Login.Response.SomethingWentWrong,
Authentication.Login.Response.TencentLoginFailurePleaseTryAgain,Ошибка входа. Попробуй ещё раз.
Authentication.Login.Response.TooManyAttemptsPleaseWait,Слишком много попыток. Подожди немного.
Authentication.Login.Response.UnableToSignIn,Невозможно выполнить вход.
Authentication.Login.Response.UnknownError,
Authentication.Login.Response.UnknownErrorLoginWithDifferentMethod,Что-то пошло не так. Попробуй выполнить вход другим способом.
Authentication.Login.Response.UnverifiedEmailLoginWithUsername,"Этот адрес эл. почты не подтверждён. Войди, используя своё имя пользователя."
Authentication.Login.WeChat.AntiAddictionText,"Не участвуй в плохих и пиратских проектах. Будь начеку, чтобы избежать обмана. Не проводи слишком много времени в сети, это может навредить здоровью. Разумно распределяй своё время и наслаждайся правильным образом жизни."
Authentication.Login.WeChat.NotInstalled,WeChat не установлен
Authentication.OneTimePasscode.Action.ChangeEmailV2,Изменить адрес эл. почты
Authentication.OneTimePasscode.Action.Continue,
Authentication.OneTimePasscode.Action.GetHelp,Нужна помощь
Authentication.OneTimePasscode.Action.Resend,Отправить заново
Authentication.OneTimePasscode.Description.DidntReceiveCode,Код не получен?
Authentication.OneTimePasscode.Description.ReviewAndConsentToTerms,"Пожалуйста, ознакомьтесь с нижеследующими условиями от имени вашего ребёнка. Вы можете принять или не согласиться с индивидуальными условиями. Ваш ребёнок по-прежнему может использовать Roblox, если вы не согласны с дополнительными условиями. "
Authentication.OneTimePasscode.Description.SendVerificationCode,"Мы отправим родителям проверочный код, чтобы они могли помочь тебе зарегистрироваться"
Authentication.OneTimePasscode.Label.CodeSent,Код отправлен
Authentication.OneTimePasscode.Label.ConsentNeeded,Требуется согласие
Authentication.OneTimePasscode.Label.ParentConsentNeeded,Требуется согласие родителя
Authentication.OneTimePasscode.Label.SixDigitCode,Шестизначный код
Authentication.Passkey.Action.Continue,
Authentication.Passkey.Action.CreatePasskey,Создать ключ доступа
Authentication.Passkey.Action.KeepUsingPassword,"Нет, проолжить использовать пароль"
Authentication.Passkey.Action.TryAgainLaterAcknowledgement,Не сейчас
Authentication.Passkey.Action.TryAgainNowAcknowledgement,Попробовать
Authentication.Passkey.Description.Benefits,"Код доступа — это более безопасный и быстрый способ входа, потому что он не может быть использован повторно и его не могут угадать другие пользователи"
Authentication.Passkey.Description.DataPolicy,Roblox не хранит твои биометрические данные
Authentication.Passkey.Description.Error,Мы не смогли зарегистрировать твой пароль. Повтори попытку.
Authentication.Passkey.Description.Purpose,"Войди в Roblox с помощью отпечатка пальца, идентификатора лица или ПИН-кода, который ты используешь для разблокировки устройства"
Authentication.Passkey.Description.UpsellRegistrationSuccess,"Теперь ты можешь использовать идентификатор лица, отпечаток пальца или ПИН-код устройства для входа в Roblox."
Authentication.Passkey.Label.UpsellErrorTitle,Повтори попытку
Authentication.Passkey.Label.UpsellTitle,"Войти быстрее, используя код доступа"
Authentication.Passkey.Label.UpsellToastPageTitle,Готово! Ключ доступа успешно создан
Authentication.Passkey.Label.UpsellToastTitle,Код доступа успешно создан!
Authentication.ResetPassword.Response.ResetPasswordStarted,"Чтобы продолжить, сбрось пароль."
Authentication.SignUp.Action.Cancel,
Authentication.SignUp.Action.Continue,
Authentication.SignUp.Action.CreateAPasskey,
Authentication.SignUp.Action.CreateAccount,
Authentication.SignUp.Action.IUnderstand,Понятно
Authentication.SignUp.Action.NextWord,
Authentication.SignUp.Action.StartOver,Начать сначала
Authentication.SignUp.Action.UseEmail,Использовать эл. почту
Authentication.SignUp.Action.UsePhoneNumber,
Authentication.SignUp.Button.RetryLogIn,Повторить вход
Authentication.SignUp.Description.AccountAlreadyLinked,Твой аккаунт {platformAccountName} уже связан с аккаунтом Roblox. Попробуй повторить вход.
Authentication.SignUp.Description.BirthdayHelp,"Это даст нам понять, какой контент показывать. Видно только тебе."
Authentication.SignUp.Description.BirthdayHelp3,Это помогает нам показать релевантный контент и не делиться с другими.
Authentication.SignUp.Description.BirthdayValuePropC,"Это даст нам понять, какой контент показывать. Видно только тебе"
Authentication.SignUp.Description.ClickNextAgreeToTerms,"Нажимая «Далее», ты принимаешь Условия использования, включая арбитражное соглашение, и соглашаешься с Политикой конфиденциальности."
Authentication.SignUp.Description.CreateAPassword,Создать пароль для аккаунта Roblox
Authentication.SignUp.Description.EnsureNeverLoseAccount,"Это гарантирует, что вы никогда не потеряете доступ к своему аккаунту Roblox."
Authentication.SignUp.Description.EnterParentEmail,Для получения кода подтверждения введи адрес электронной почты родителя/опекуна.
Authentication.SignUp.Description.GenderHelp2,Это поможет нам выбрать подходящий аватар.
Authentication.SignUp.Description.OneMoreStep,Ещё один шаг
Authentication.SignUp.Description.Or,ИЛИ
Authentication.SignUp.Description.PasskeyTryAgain,что-то пошло не так при регистрации ключа доступа. Выполни регистрацию под другим именем пользователя.
Authentication.SignUp.Description.RobloxNotAvailableInRegion,Roblox временно недоступен в вашем регионе.
Authentication.SignUp.Description.ThisKeepYourAccountSecure,Это защитит твой аккаунт Roblox.
Authentication.SignUp.Description.Try,
Authentication.SignUp.Description.UnderAgeAlert,Минимальный возраст для игры в Roblox не достигнут.
Authentication.SignUp.Description.UsernameHelp,Так люди увидят тебя в Roblox. Запомни своё имя пользователя для будущего входа.
